cdmid,child_of,object_type,title,cdmcreated,cdmmodified,format,subject,publisher,doc_type,creator,width,height,source,language,identifier,date,description,coverage,relation,related_to,technique,contributor,tag,notes,audience
13,,0,Expectant Mother,12/18/07,12/18/07,JPG,Pregnant women; Health & welfare; Infants;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,11,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e025m001.jpg,[1911],"Blank form for recording details of expectant mother's health, including information about previous pregnancies and infant feeding methods.",New York. New York City.,,,,,,,
14,,2,Case History Card with Relief Record,1/8/08,1/8/08,JPG,Assistance; Infants; Health,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.,21,13,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),,,[1911],Blank form printed on both sides for recording information about family and infant seeking welfare relief and milk assistance.,New York. New York City.,,,,,,,
15,,0,Diet for Child from 18th to 24th Month,2/4/08,2/4/08,JPG,Infants; Nutrition; Food; Menus;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,21,Printed Ephemera of the New York Milk Committee.; Information cards,English,mk1e031m001.jpg,[1911],"Information card describing recommended diet for child aged 18 to 24 months, including suggested foods for breakfast, forenoon snack, dinner and supper.  Includes recommended volume milk to be consumed each day (1.5 quarts).",New York. New York City.,,,,,,,
16,,2,Registered Baby,12/12/07,12/12/07,JPG,Infants; Health;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee,13,8,Printed Ephemera of the New York Milk Committee.,English,mk1e024,[1911],Blank card printed on two sides for recording information about an infant registered as eligible for assistance from the New York Milk Committee,New York. New York City.,,,,,,,
17,,0,Diet for Child from 2 to 3 Years,2/4/08,2/4/08,JPG,Infants; Nutrition; Food; Menus;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,21,Printed Ephemera of the New York Milk Committee.; Information cards,English,mk1e032m001.jpg,[1911],"Information card describing recommended diet for child aged 2 to 3 years, including suggested foods for breakfast, dinner and supper.",New York. New York City.,,,,,,,
18,,0,Diet for Child from 3 to 6 Years,2/4/08,2/4/08,JPG,Children; Nutrition; Food; Menus;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,21,Printed Ephemera of the New York Milk Committee.; Information cards,English,mk1e033m001.jpg,[1911],"Information card describing recommended diet for child aged 3 to 6 years, including suggested foods for breakfast, dinner and supper.",New York. New York City.,,,,,
19,,0,Diet for Child from 12th to 18th Month,2/4/08,2/4/08,JPG,Infants; Nutrition; Food; Menus;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,21,Printed Ephemera of the New York Milk Committee.; Information cards,English,mk1e030m001.jpg,[1911],"Information card describing recommended diet for infant aged 12 to 18 months, including suggested foods for five meals each day.  Includes recommended daily consumption of milk (1 to 1.25 quarts).",New York. New York City.,,,,,
20,,0,Babies' Pure Milk and Health Stations,12/17/07,12/17/07,JPG,Infants; Milk; Health care facilities;,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,29,Printed Ephemera of the New York Milk Committee.; Information cards,English,mk1e034m001.jpg,[1911],"Address list of milk stations, education centers and well-baby clinics run by the New York Milk Committee, Nathan Straus Pasteurized Milk Laboratories,  New York Diet Kitchen Association, and Department of Health in Manhattan; the Children's Aid Society and Department of Health in Brooklyn; and the New York Diet Kitchen Association in the Bronx.  Includes description of kind of milk (certified, pasteurized, sterilized etc.) available at each facility.",New York. New York City.,,,,,
21,,0,Milk formula (English),1/10/08,1/10/08,JPG,Milk; Food; Infants,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,9,Printed Ephemera of the New York Milk Committee.; Blank forms (feeding instructions);,English,mk1e017m001.jpg,[1911],"Blank printed form for recording individualized milk formula for infant receiving aid from the New York Milk Committee's Babies' Pure Milk Stations.  Ingredients for formula include milk top; whole milk; lime water; milk sugar; boiled water; barley water; and oatmeal water.  Includes space for prescribing quantity to be administered and feeding schedule.  [Form ""10,000 5-11, 8-11""]",New York. New York City.,,,Halftone photomechanical prints,,
22,,0,Milk formula (Italian),1/8/08,1/8/08,JPG,Milk; Food; Infants,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,9,Printed Ephemera of the New York Milk Committee.; Blank forms (feeding instructions);,Italian,mk1e018m001.jpg,[1911],Blank printed form for recording individualized milk formula for infant receiving aid from the New York Milk Committee's Babies' Pure Milk Stations.  Ingredients for formula include milk top; whole milk; lime water; milk sugar; boiled water; barley water; and oatmeal water.  Includes space for prescribing quantity to be administered and feeding schedule.,New York. New York City.,,,,,
23,,0,Milk formula (Yiddish),1/8/08,1/8/08,JPG,Milk; Food; Infants,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,9,Printed Ephemera of the New York Milk Committee.; Blank forms (feeding instructions);,Yiddish,mk1e019m001.jpg,[1911],Blank printed form for recording individualized milk formula for infant receiving aid from the New York Milk Committee's Babies' Pure Milk Stations.  Ingredients for formula include milk top; whole milk; lime water; milk sugar; boiled water; barley water; and oatmeal water.  Includes space for prescribing quantity to be administered and feeding schedule.,New York. New York City.,,,,,
24,36,1,[Modilac-Merrell advertisement (back)],1/9/08,1/9/08,JPG,Advertisements; Milk; Infants; Food industry;,The New York Academy of Medicine,Advertisements;,Wm. S. Merrell Company.,18,22,Advertisement; Printed Ephemera of the New York Milk Committee.;,English,mk1e029m002.jpg,[1911?],"Back of tri-fold form (package insert?) advertising Modilac milk formula tablets.  Includes information on nutritional differences between cow's milk and human breast milk.  Ingredients of Modilac tablets are given: lactose (1.5 grams); Sodium Chloride (one-twelfth gram); Sodium Bicarbonate (.25 grams); Sodium Phosphate (one-twentieth gram); Potassium Bicarbonate (one-twenty-fourth gram).  Includes directions for use.  Printed by Bonnett & Co., Cincinnati.",Ohio. Cincinnati.,back of mk1e029,mk1e029,Halftone photomechanical prints,,postcard
25,36,1,[Modilac-Merrell advertisment (front)],1/9/08,1/9/08,JPG,Advertisements; Milk; Infants; Food industry;,The New York Academy of Medicine,Advertisements;,Wm. S. Merrell Company.,18,22,Printed Ephemera of the New York Milk Committee.; Advertisement;,English,mk1e029m001.jpg,[1911?],"Front of tri-fold label advertising Modliac milk formula (""Nature's food for the normal baby""), sold in tablet form as ""[a] convenient and accurate method of modifying cow's milk for infant feeding. A modifying unit in tablet form for insertion diretly into the nursing bottle."" Includes recommended feeding schedule for infants aged 2 to 12 months.  Illustrated with images of product packaging and woman preparing formula.",Ohio. Cincinnati.,front of mk1e029,mk1e029,Halftone photomechanical prints,,postcard
26,140,1,[A Letter to Expectant Mothers (English) inside faces],2/24/08,2/24/08,JPG,Pregnancy; Health,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,24,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e035m002.jpg,1911,"Circular, printed front and back;locations of hospitals and maternity care clinics chart on p.2.",New York. New York City.,inside faces of mk1e035,mk1e035,,Jonathan Frater,document
27,58,1,Milk and Human Kindness (back),1/14/08,1/14/08,JPG,Infants; Health,The New York Academy of Medicine,Circulars;,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,21,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e044m002.jpg,1916,"18 thumbnail photos of babies around circumference; two larger photos along long axis. Caption: ""The Nation That Has The Babies Has The Future ... Save Them and Nourish Them Well"".",New York. New York City.,back of mk1e044,mk1e044,Halftone photomechanical prints;,Jonathan Frater,document
28,140,1,[A Letter to Expectant Mothers (English) back],3/23/08,3/23/08,JPG,Infants; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e035m003.jpg,1911,List of clinic locations throughout NYC; NYAM stamp in lower right corner.,New York. New York City.,back of mk1e035,mk1e035,,Jonathan Frater,
29,41,1,[A Letter to Expectant Mothers (Yiddish) back],1/9/08,1/9/08,JPG,Milk; Infants; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e036m003.jpg,,Chart giving locations of hospitals and clinics; 1 page.,New York. New York City.,back of mk1e036,mk1e036,,Jonathan Frater,document
30,,0,Look for the Blue Fronts (English),1/9/08,1/9/08,JPG,Infants; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e037m001.jpg,1911,Photos of emaciated and healthy babies (long axis); captions; stamps at top and bottom of card.,New York. New York City.,,,,Jonathan Frater,
31,,0,Look for the Blue Fronts (Italian),1/8/08,1/8/08,JPG,Infants; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Italian,mk1e039m001.jpg,1911,Photos of emaciated and healthy babies (long axis); captions.,New York. New York City.,,,,Jonathan Frater,
32,,0,Look for the Blue Fronts (Czech),1/9/08,1/9/08,JPG,Infants; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Czech,mk1e038m001.jpg,1911,Photos of emaciated and healthy babies (long axis); captions.,New York. New York City.,,,,Jonathan Frater,
33,,0,Look for the Blue Fronts (Yiddish),1/8/08,1/8/08,JPG,Infants; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Yiddish,mk1e040m001.jpg,1911,Photos of emaciated and healthy babies (long axis); captions.,New York. New York City.,,,Halftone photomechanical prints;,Jonathan Frater,
34,41,1,[A Letter to Expectant Mothers (Yiddish) front],1/9/08,1/9/08,JPG,Infants; Mothers; Milk; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Yiddish,mk1e036m001.jpg,1911,Yiddish caption title;  woman and baby both in white; chair and basket in background; floral wall pattern in background.,New York. New York City.,face of mk1e036,mk1e036,Halftone photomechanical prints;,Jonathan Frater,document,
35,41,1,[A Letter to Expectant Mothers (Yiddish) inside faces],1/8/08,1/8/08,JPG,Milk; Mothers; Infants; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,24,23,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Yiddish,mk1e036m002.jpg,1911,Pamphlet printed in Yiddish; 2 pages; hospital & clinic location chart on p. 2.,New York. New York City.,inside faces of mk1e036,mk1e036,,Jonathan Frater,document,
36,,2,Modilac-Merrell advertisment,1/8/08,1/8/08,JPG,Milk; Infants; Food industry,The New York Academy of Medicine,Advertisements,Wm. S. Merrell Company,18,22,Printed Ephemera of the New York Milk Committee.; Advertisement,,mk1e0029,1911,Two-sided advertisment (folded) for milk formula in tablet form.,,,,Halftone photomechanical prints,,,
37,40,1,Out of Town (back),1/9/08,1/9/08,JPG,Milk; Infants; Health & welfare; Mothers,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,16,Printed Ephemera of the New York Milk Committee.,English,mk1e001m003.jpg,1911,,New York. New York City.,back of mk1e001,mk1e001,Halftone photomechanical prints;,,document,
38,40,1,Out of Town (inside faces),2/7/08,2/7/08,JPG,Summer; Infants; Death; Poetry; Funeral processions,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,16,Printed Ephemera of the New York Milk Committee.,English,mk1e001m002.jpg,1911,Sentimental poem contrasting the summer holidays of wealthy city dwellers with the fate of working-class infants struck down by disease. Text illustrated with photographs of children and city scenes.,New York. New York City.,inside faces of mk1e001,mk1e001,Halftone photomechanical prints;,,document,
39,40,1,Out of Town (front),1/9/08,1/9/08,JPG,,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,16,Printed Ephemera of the New York Milk Committee.,English,mk1e001m001.jpg,1911,,New York. New York City.,front of mk1e001,mk1e001,Halftone photomechanical prints;,,document,
40,,2,Out of Town,1/9/08,1/9/08,JPG,Milk; Infant mortality; Summer,The New York Academy of Medicine,Circulars,,9,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e001m,1911,One folded sheet.,,,,Halftone photomechanical prints,,,
41,,2,A Letter to Expectant Mothers (Yiddish),1/9/08,1/9/08,JPG,Pregnancy; Infants; Milk; Health,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee to Reduce Infant Mortality.,12,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Yiddish; English,,1911,Circular promoting prenatal healthcare and encouraging pregnant mothers to visit maternity centers. Single folded sheet with front and inside faces printed in Yiddish.,,,,Halftone photomechanical prints,,,
42,140,1,[A Letter to Expectant Mothers (English) front],1/22/08,1/22/08,JPG,Milk; Pregnancy; Health & welfare;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,16,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,,1911,Front page of circular promoting prenatal care.  Illustrated with image of mother embracing baby; changing table with clothing draped in background; flowered print wallpaper in background.,New York. New York City.,front of mk1e035,mk1e035,Halftone photomechanical prints;,Jonathan Frater,document,
44,49,1,Milk: Its Value to the Home: The Proper Care of Milk in the Home (3),1/10/08,1/10/08,JPG,Milk; Nutrition; Education;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee on Milk Consumers.,18,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e041m003.jpg,,"Single printed page,describing how to prepare and store milk in the home; two columns of print; photo of cows in pasture, center top.",New York. New York City.,inside faces 3 and 4 of mk1e041,mk1e041,Halftone photomechanical prints;,Jonathan Frater,document,Image 3 of 5
45,49,1,Milk: Its Value to the Home (1),1/14/08,1/14/08,JPG,Milk; Nutrition; Education; Child rearing; Children eating & drinking;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,mk1e041m.jpg,1911,Small photo at top showing girl eating at table with garden backdrop; caption below photo; NYAM stamp in blue ick,New York,Front of mk1e041,mk1e041,Halftone photomechanical prints,Jonathan Frater,document,image 1 of 5
46,49,1,Milk: Its Value to the Home: Milk As a Family Food (2),1/10/08,1/10/08,JPG,Milk; Nutrition; Education; Child rearing;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee on Milk Consumers.,18,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e041m002.jpg,1911,"Folded pages describing the nutritional value of milk as a food; photo of baby playing on floor, upper left, left page; illustration of cow, right page, lower right.",New York. New York City.,inside faces 1 and 2 of mk1e041,mk1e041,Halftone photomechanical prints,Jonathan Frater,document,Image 2 of 5
47,49,1,Milk: Its Value to  the Home: The Kind of Milk to Buy (4),1/10/08,1/10/08,JPG,Milk; Nutrition; Education; Child rearing; Children eating & drinking;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee on Milk Consumers.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e041m004.jpg,1911,"Folded pages; Page at left, discussion of quality and temperature of milk for sale, illustration of cow at bottom; page at right, photograph of bottled milk with produce at top, chart comparing the value of one quart of milk with other foods.",New York. New York City.,inside faces 5 and 6 of mk1e041,mk1e041,Halftone photomechanical prints;,Jonathan Frater,document,Image 4 of 5
48,49,1,Milk: Its Value to the Home (5),1/10/08,1/10/08,JPG,Milk; Nutrition; Education; Child rearing; Children eating & drinking;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee on Milk Consumers.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e041m005.jpg,1911,"Single page; pamphlet style, single column printing; information about milk's benefits at top section; lists members of Milk Committee's Standing Committee on Milk Consumers at bottom.",New York. New York City.,back of mk1e041,mk1e041,Halftone photomechanical prints;,Jonathan Frater,document,Image 5 of 5
49,,2,Milk: Its Value to the Home [unbound],1/14/08,1/14/08,JPG,Milk; Nutrition;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,mk1e041,1911,"8 page pamphlet (unbound, printed on five sheets) promoting milk consumption and providing guidelines for its storage and handling in the home.",,,,Halftone photomechanical prints,,,
50,60,1,What Milk to Buy (1),1/16/08,1/16/08,JPG,Children; Milk; Nutrition,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e042m001.jpg,1911,"Collage of head and upper body photos of children; large photo of young girl (?) in center; caption ""New York Milk Committee"" below; NYAM stamp in blue.",New York. New York City.,,,Halftone photomechanical prints;,Jonathan Frater,document,Image 1 of 2
51,60,1,What Milk to Buy (2),1/14/08,1/14/08,JPG,Children; Milk; Nutrition;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,20,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e042m002.jpg,,"Single page with two columns of print; includes suggestions on stroring, refirgerating, and preparing milk with bolded subheadings.",New York. New York City.,,,Halftone photomechanical prints;,Jonathan Frater,,Image 2 of 2,"Parents, Caretakers"
53,60,1,What Milk to Buy (3),1/14/08,1/14/08,JPG,Milk; Nutrition; Bottle feeding; Infants;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e042m003.jpg,1911,"Full single page; fragment of longer document; offers information on the preparation of milk for infants and younger children; photo at bottom of page, two young children sitting on lawn.",New York. New York City.,back of mk1e042,mk1e042,Halftone photomechanical prints;,Jonathan Frater,,,
54,58,1,Milk and Human Kindness (front),3/5/08,3/5/08,JPG,Milk; Infants; Economic aspects of war; Consumer rationing,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,21,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e044m001.jpg,1916,"Caption title, top; hand drawn illustration of baby drinking milk from a bottle; illustration caption: courtesy N.Y. Evening Journal; contact information for New York Milk Committe and members at bottom.",New York. New York City.,front of mk1e044,mk1e044,Halftone photomechanical prints;,Jonathan Frater,,Document not scanned in entirety due to fragility.,
55,57,1,Milk: Its Value to the Home   [fold-out] (1),1/14/08,1/14/08,JPG,Milk; Nutrition;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,19,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e043m001.jpg,1911,Pamphlet cover; single photo of young girl eating at a table; garden as background; caption benetah photo; NYAM stamp in red; New York Milk Comiite contact information at bottom.,New York. New York City.,front of mk1e043,mk1e043,Halftone photomechanical prints;,Jonathan Frater,,Image 1 of 2,
56,57,1,Milk: Its Value to the Home   [fold-out]  (2),1/14/08,1/14/08,JPG,Milk; Nutrition;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e043m002.jpg,1911,Reverse of photo side; single column print; lists members of Milk Committee's Standing Committee on Milk Consumers; lists additional publications by same.,New York. New York City.,back of mk1e043,mk1e043,Halftone photomechanical prints;,Jonathan Frater,,Image 2 of 2.  Document not scanned in its entirety due to fragility of paper.,
57,,2,Milk:  Its Value to the Home (fold-out),1/14/08,1/14/08,JPG,Milk; Infants; Nutrition,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,mk1e043,1911,Eight page leaflet (one sheet fold-out) promoting milk consumption and providing guidelines for its storage and handling in the home.,,,,,,,Document not scanned in its entirety due to fragility of paper.,
58,,2,Milk and Human Kindness,3/5/08,3/5/08,JPG,Infants; Milk;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,21,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,mk1e044,1916,"Leaflet (single folded sheet) promoting increased consumption of milk and other dairy products, and substitution of dairy products ""for those foods so necessary for the physical upkeep of the fighting men at the front...""",,,,,,,Document not scanned in its entirety due to fragility of paper.  Missing images of interior pages.,
60,,2,What Milk to Buy,1/14/08,1/14/08,JPG,Milk; Infants; Children; Nutrition,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,mk1e042,1911,"Educational circular instructing consumers on how to purchase, store and modify milk for infant feeding.  Single folded sheet.",,,,Halftone photomechanical prints,,,,
61,65,1,Does Fact-Recording Help Your Baby-Saving? (front),1/16/08,1/16/08,JPG,Milk; Infants; Stats;,The New York Academy of Medicine,Postcards;,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;,English,mk1e009m001.jpg,1911,"Report (for week ending July 29, 1911) providing statistical measures of infant milk stations' success in lowering infant mortality in New York City.  ""Facts given for babies under 2 years.""",New York. New York City.,face of mk1e009,mk1e009,,,postcard,,
62,65,1,Does Fact-Recording Help Your Baby-Saving? (back),1/16/08,1/16/08,JPG,Milk; Infants; Hygiene; Health;,The New York Academy of Medicine,Postcards;,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;,English,mk1e009m002.jpg,1911,"Blank postcard promoting the achievements of the New York Milk Committee in combatting infant mortality in the summer months. Includes chart of ""baby deaths for one year"" showing seasonal change in mortality rates.  Caption title: ""When does the spurt come in your city?""",New York. New York City.,verso of mk1e009,mk1e009,Halftone photomechanical prints;,,postcard,,
63,66,1,What Happened in .... During the Hot Spell? [Efficient Citizenship No. 454] (front),2/4/08,2/4/08,JPG,Infant mortality; Milk; Summer;,The New York Academy of Medicine,Postcards;,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;,English,mk1e010m001.jpg,1911,"Postcard promoting the efforts of the New York Milk Committee and other agencies in combatting infants deaths due to impure milk.  Includes statistics on ""deaths reported July 1-15, 1911"" in thirteen American cities including Toledo, Detroit, Baltimore and New York City.  Also includes clipping reproduced from the N.Y. American, July 23 [1911].",New York. New York City.,face of mk1e010,mk1e010,,,postcard,,
