"title","date_created","subject","repository","format","creator","doc_type","width","height","source","language","identifier","date","description","coverage","relation","related_to","technique","contributors","tag","text","notes","audience"
"Expectant Mother","2003-12-17","Pregnant women; Health & welfare; Infants;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents);",16,11,"Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics)","English","mk1e025m001.jpg","[1911]","Blank form for recording details of expectant mother's health, including information about previous pregnancies and infant feeding methods.","New York. New York City.",,,,,,,,
"Case History Card with Relief Record","2004-01-07","Assistance; Infants; Health","The New York Academy of Medicine","jpeg","New York Milk Committee.","Forms (Documents)",21,13,"Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics)",,,"[1911]","Blank form printed on both sides for recording information about family and infant seeking welfare relief and milk assistance.","New York. New York City.",,,,,,,,
"Diet for Child from 18th to 24th Month","2004-02-03","Infants; Nutrition; Food; Menus;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents)",13,21,"Printed Ephemera of the New York Milk Committee.; Information cards","English","mk1e031m001.jpg","[1911]","Information card describing recommended diet for child aged 18 to 24 months, including suggested foods for breakfast, forenoon snack, dinner and supper.  Includes recommended volume milk to be consumed each day (1.5 quarts).","New York. New York City.",,,,,,,,
"Registered Baby","2003-12-11","Infants; Health;","The New York Academy of Medicine","jpg","New York Milk Committee","Forms (Documents)",13,8,"Printed Ephemera of the New York Milk Committee.","English","mk1e024","[1911]","Blank card printed on two sides for recording information about an infant registered as eligible for assistance from the New York Milk Committee","New York. New York City.",,,,,,,,
"Diet for Child from 2 to 3 Years","2004-02-03","Infants; Nutrition; Food; Menus;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents)",13,21,"Printed Ephemera of the New York Milk Committee.; Information cards","English","mk1e032m001.jpg","[1911]","Information card describing recommended diet for child aged 2 to 3 years, including suggested foods for breakfast, dinner and supper.","New York. New York City.",,,,,,,,
"Diet for Child from 3 to 6 Years","2004-02-03","Children; Nutrition; Food; Menus;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents)",13,21,"Printed Ephemera of the New York Milk Committee.; Information cards","English","mk1e033m001.jpg","[1911]","Information card describing recommended diet for child aged 3 to 6 years, including suggested foods for breakfast, dinner and supper.","New York. New York City.",,,,,,,,
"Diet for Child from 12th to 18th Month","2004-02-03","Infants; Nutrition; Food; Menus;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents)",13,21,"Printed Ephemera of the New York Milk Committee.; Information cards","English","mk1e030m001.jpg","[1911]","Information card describing recommended diet for infant aged 12 to 18 months, including suggested foods for five meals each day.  Includes recommended daily consumption of milk (1 to 1.25 quarts).","New York. New York City.",,,,,,,,
"Babies' Pure Milk and Health Stations","2003-12-16","Infants; Milk; Health care facilities;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents)",18,29,"Printed Ephemera of the New York Milk Committee.; Information cards","English","mk1e034m001.jpg","[1911]","Address list of milk stations, education centers and well-baby clinics run by the New York Milk Committee, Nathan Straus Pasteurized Milk Laboratories,  New York Diet Kitchen Association, and Department of Health in Manhattan; the Children's Aid Society and Department of Health in Brooklyn; and the New York Diet Kitchen Association in the Bronx.  Includes description of kind of milk (certified, pasteurized, sterilized etc.) available at each facility.","New York. New York City.",,,,,,,,
"Milk formula (English)","2004-01-09","Milk; Food; Infants","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents)",12,9,"Printed Ephemera of the New York Milk Committee.; Blank forms (feeding instructions);","English","mk1e017m001.jpg","[1911]","Blank printed form for recording individualized milk formula for infant receiving aid from the New York Milk Committee's Babies' Pure Milk Stations.  Ingredients for formula include milk top; whole milk; lime water; milk sugar; boiled water; barley water; and oatmeal water.  Includes space for prescribing quantity to be administered and feeding schedule.  [Form ""10,000 5-11, 8-11""]","New York. New York City.",,,"Halftone photomechanical prints",,,,,
"Milk formula (Italian)","2004-01-07","Milk; Food; Infants","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents)",12,9,"Printed Ephemera of the New York Milk Committee.; Blank forms (feeding instructions);","Italian","mk1e018m001.jpg","[1911]","Blank printed form for recording individualized milk formula for infant receiving aid from the New York Milk Committee's Babies' Pure Milk Stations.  Ingredients for formula include milk top; whole milk; lime water; milk sugar; boiled water; barley water; and oatmeal water.  Includes space for prescribing quantity to be administered and feeding schedule.","New York. New York City.",,,,,,,,
"Milk formula (Yiddish)","2004-01-07","Milk; Food; Infants","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents)",12,9,"Printed Ephemera of the New York Milk Committee.; Blank forms (feeding instructions);","Yiddish","mk1e019m001.jpg","[1911]","Blank printed form for recording individualized milk formula for infant receiving aid from the New York Milk Committee's Babies' Pure Milk Stations.  Ingredients for formula include milk top; whole milk; lime water; milk sugar; boiled water; barley water; and oatmeal water.  Includes space for prescribing quantity to be administered and feeding schedule.","New York. New York City.",,,,,,,,
"[Modilac-Merrell advertisement (back)]","2004-01-08","Advertisements; Milk; Infants; Food industry;","The New York Academy of Medicine","JPG","Wm. S. Merrell Company.","Advertisements;",18,22,"Advertisement; Printed Ephemera of the New York Milk Committee.;","English","mk1e029m002.jpg","[1911?]","Back of tri-fold form (package insert?) advertising Modilac milk formula tablets.  Includes information on nutritional differences between cow's milk and human breast milk.  Ingredients of Modilac tablets are given: lactose (1.5 grams); Sodium Chloride (one-twelfth gram); Sodium Bicarbonate (.25 grams); Sodium Phosphate (one-twentieth gram); Potassium Bicarbonate (one-twenty-fourth gram).  Includes directions for use.  Printed by Bonnett & Co., Cincinnati.","Ohio. Cincinnati.","back of mk1e029"," mk1e029.jpg","Halftone photomechanical prints",,"postcard",,,
"[Modilac-Merrell advertisment (front)]","2004-01-08","Advertisements; Milk; Infants; Food industry;","The New York Academy of Medicine","JPG","Wm. S. Merrell Company.","Advertisements;",18,22,"Printed Ephemera of the New York Milk Committee.; Advertisement;","English","mk1e029m001.jpg","[1911?]","Front of tri-fold label advertising Modliac milk formula (""Nature's food for the normal baby""), sold in tablet form as ""[a] convenient and accurate method of modifying cow's milk for infant feeding. A modifying unit in tablet form for insertion diretly into the nursing bottle."" Includes recommended feeding schedule for infants aged 2 to 12 months.  Illustrated with images of product packaging and woman preparing formula.","Ohio. Cincinnati.","front of mk1e029"," mk1e029.jpg","Halftone photomechanical prints",,"postcard",,,
"[A Letter to Expectant Mothers (English) inside faces]","2004-02-23","Pregnancy; Health","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",24,23,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e035m002.jpg",1911,"Circular, printed front and back;locations of hospitals and maternity care clinics chart on p.2.","New York. New York City.","inside faces of mk1e035"," mk1e035.jpg",,"Jonathan Frater","document","A LETTER TO EXPECTANT MOTHERS<br><br> Dear Mothers:<br> Last year fully five thousand babies died in New York before they were one month old.  They died because they were born too weak to combat the diseases of babyhood.  They were born weak because their mothers did not properly care for themselves during the period of pregnancy; overwork, lack of exercise, in-sufficient or improper nourishment, irregularity in eating and sleeping, worry and nervousness were some of the many causes.<br><br> Every mother desires to have her baby born healthy and strong.  Every baby has right to be so born.  You can do much at this time to insure your baby being born well and strong.  Prepare yourself in advance--be regular in your habits; build yourself up by eating wholesome food; avoid beer, whiskey and drugs; talk to your doctor about yourself, or go to any BABIES' PURE MILK STATION for advice.<br><br> When the time comes for the baby to be born, you must use special care so as not to have your own health or that of your baby impaired.  Remember that one-half of all the blindness in this world is due to improper care of the baby's eyes immediately after birth.<br><br> To avoid having your own health and that of your baby impaired at the time of birth, you will need especial care.  Obtain the best.  It will be worth while.  If you can go to the hospital, do so by all means; there you will receive proper medical and nursing care for yourself and baby.  Select from the list of hospitals given in this circular, the one to which you desire to apply for admission, and make arrangements at least two weeks in advance of the date of confinement. If you cannot leave<br><br> [page break]<br> your home because of other children, go to a ""Blue Front"" BABIES' PURE MILK AND HEALTH STATION for advice; there the nurse will be glad to tell you of hospitals and settlements which will provide medical treatment and nurse services in your own home.  Many agencies will furnish female physicians in desired.  These services can be obtained at a small charge, or free if you cannot afford to pay.<br> Do not forget you owe it to your unborn babe to bring it into the world well and strong. This you can do only if you are willing to learn how.<br><br> [a list of hospitals follows]",,
"Milk and Human Kindness (back)","2004-01-13","Infants; Health","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars;",16,21,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e044m002.jpg",1916,"18 thumbnail photos of babies around circumference; two larger photos along long axis. Caption: ""The Nation That Has The Babies Has The Future ... Save Them and Nourish Them Well"".","New York. New York City.","back of mk1e044"," mk1e044.jpg","Halftone photomechanical prints;","Jonathan Frater","document",,,
"[A Letter to Expectant Mothers (English) back]","2004-03-22","Infants; Milk; Health & welfare","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",12,16,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e035m003.jpg",1911,"List of clinic locations throughout NYC; NYAM stamp in lower right corner.","New York. New York City.","back of mk1e035"," mk1e035.jpg",,"Jonathan Frater",,,,
"[A Letter to Expectant Mothers (Yiddish) back]","2004-01-08","Milk; Infants; Health & welfare","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",12,16,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e036m003.jpg",,"Chart giving locations of hospitals and clinics; 1 page.","New York. New York City.","back of mk1e036"," mk1e036.jpg",,"Jonathan Frater","document",,,
"Look for the Blue Fronts (English)","2004-01-08","Infants; Milk; Health & welfare","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",12,23,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e037m001.jpg",1911,"Photos of emaciated and healthy babies (long axis); captions; stamps at top and bottom of card.","New York. New York City.",,,,"Jonathan Frater",,,,
"Look for the Blue Fronts (Italian)","2004-01-07","Infants; Milk; Health & welfare","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",12,23,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","Italian","mk1e039m001.jpg",1911,"Photos of emaciated and healthy babies (long axis); captions.","New York. New York City.",,,,"Jonathan Frater",,,,
"Look for the Blue Fronts (Czech)","2004-01-08","Infants; Milk; Health & welfare","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",12,23,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","Czech","mk1e038m001.jpg",1911,"Photos of emaciated and healthy babies (long axis); captions.","New York. New York City.",,,,"Jonathan Frater",,,,
"Look for the Blue Fronts (Yiddish)","2004-01-07","Infants; Milk; Health & welfare","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",12,23,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","Yiddish","mk1e040m001.jpg",1911,"Photos of emaciated and healthy babies (long axis); captions.","New York. New York City.",,,"Halftone photomechanical prints;","Jonathan Frater",,,,
"[A Letter to Expectant Mothers (Yiddish) front]","2004-01-08","Infants; Mothers; Milk; Health & welfare","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",12,16,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","Yiddish","mk1e036m001.jpg",1911,"Yiddish caption title;  woman and baby both in white; chair and basket in background; floral wall pattern in background.","New York. New York City.","face of mk1e036"," mk1e036.jpg","Halftone photomechanical prints;","Jonathan Frater","document",,,
"[A Letter to Expectant Mothers (Yiddish) inside faces]","2004-01-07","Milk; Mothers; Infants; Health & welfare","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",24,23,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","Yiddish","mk1e036m002.jpg",1911,"Pamphlet printed in Yiddish; 2 pages; hospital & clinic location chart on p. 2.","New York. New York City.","inside faces of mk1e036"," mk1e036.jpg",,"Jonathan Frater","document",,,
"Modilac-Merrell advertisment","2004-01-07","Milk; Infants; Food industry","The New York Academy of Medicine","jpg","Wm. S. Merrell Company","Advertisements",18,22,"Printed Ephemera of the New York Milk Committee.; Advertisement",,"mk1e0029",1911,"Two-sided advertisment (folded) for milk formula in tablet form.",,,,"Halftone photomechanical prints",,,,,
"Out of Town (back)","2004-01-08","Milk; Infants; Health & welfare; Mothers","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",9,16,"Printed Ephemera of the New York Milk Committee.","English","mk1e001m003.jpg",1911,,"New York. New York City.","back of mk1e001"," mk1e001.jpg","Halftone photomechanical prints;",,"document",,,
"Out of Town (inside faces)","2004-02-06","Summer; Infants; Death; Poetry; Funeral processions","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",18,16,"Printed Ephemera of the New York Milk Committee.","English","mk1e001m002.jpg",1911,"Sentimental poem contrasting the summer holidays of wealthy city dwellers with the fate of working-class infants struck down by disease. Text illustrated with photographs of children and city scenes.","New York. New York City.","inside faces of mk1e001"," mk1e001.jpg","Halftone photomechanical prints;",,"document","OUT OF TOWN.<br><br>  Summer--and everyone's <br>  out of town,<br>  Fled far from this with-<br>ering heat <br>  That the sun all day sends <br>  sullenly down <br> On sweltering alley and <br>street.<br>  The shutters are up on the <br>  Avenue.<br>   And the houses, so grim <br>  and brown,<br>  Are empty--expect for a <br>  servant or two-<br> For everyone's out of town.<br>  <br>Where the breakers rumble <br>  their thunderous song.<br>   And shower the shore <br>  with spray,<br>  Is gathered the chattering <br>care-free throng <br> That has vanished from <br>  dull Broadway.<br>  The shadowy paths of the <br> woods are bright <br> With many a flashing gown,<br>  And the mountains echo <br>  with laughter light,<br>   For everyone's out of town.<br>  <br>Some hundreds of thous-<br>ands of children still <br> Are breathing the reek-<br> ing air.<br>  And white-faced mothers <br>  and babies grill <br> In each doorway and <br>crowded square.<br>  While grim Disease, thro <br>  the long hot night <br> Walks, sinister, up and <br>  down;<br>  His field is wide and his harvest white,<br>   Though everyone's out <br>  of town.<br><br>  Each hour or two, on the <br>  parched East Side,<br>   In a beautful coach of <br> glass,<br>  Some baby is taking its first <br>  grand ride <br> Toward the trees and the <br>  velvet grass <br>  Far out, where the sun looks more <br>  kindly down,<br>  The wan little fellows are <br>  travelling too,<br>   Like everyone--out of <br>  town.<br><br>  From the Cosmopolitan,<br>  J.J. Montague.<br>",,
"Out of Town (front)","2004-01-08",,"The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",9,16,"Printed Ephemera of the New York Milk Committee.","English","mk1e001m001.jpg",1911,,"New York. New York City.","front of mk1e001"," mk1e001.jpg","Halftone photomechanical prints;",,"document",,,
"Out of Town","2004-01-08","Milk; Infant mortality; Summer","The New York Academy of Medicine","jpg",,"Circulars",9,16,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e001m",1911,"One folded sheet.",,,,"Halftone photomechanical prints",,,,,
"A Letter to Expectant Mothers (Yiddish)","2004-01-08","Pregnancy; Infants; Milk; Health","The New York Academy of Medicine","jpg","New York Milk Committee.  Committee to Reduce Infant Mortality.","Circulars",12,16,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","Yiddish; English",,1911,"Circular promoting prenatal healthcare and encouraging pregnant mothers to visit maternity centers. Single folded sheet with front and inside faces printed in Yiddish.",,,,"Halftone photomechanical prints",,,,,
"[A Letter to Expectant Mothers (English) front]","2004-01-21","Milk; Pregnancy; Health & welfare;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",12,16,"Printed Ephemera of the New York Milk Committee.; Educational Materials","English",,1911,"Front page of circular promoting prenatal care.  Illustrated with image of mother embracing baby; changing table with clothing draped in background; flowered print wallpaper in background.","New York. New York City.","front of mk1e035"," mk1e035.jpg","Halftone photomechanical prints;","Jonathan Frater","document",,,
"Milk: Its Value to the Home: The Proper Care of Milk in the Home (3)","2004-01-09","Milk; Nutrition; Education;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee on Milk Consumers.","Pamphlets",18,17,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e041m003.jpg",,"Single printed page,describing how to prepare and store milk in the home; two columns of print; photo of cows in pasture, center top.","New York. New York City.","inside faces 3 and 4 of mk1e041"," mk1e041.jpg","Halftone photomechanical prints;","Jonathan Frater","document",,"Image 3 of 5",
"Milk: Its Value to the Home (1)","2004-01-13","Milk; Nutrition; Education; Child rearing; Children eating & drinking;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Pamphlets",9,17,"Printed Ephemera of the New York Milk Committee.; Educational Materials","English","mk1e041m.jpg",1911,"Small photo at top showing girl eating at table with garden backdrop; caption below photo; NYAM stamp in blue ick","New York","Front of mk1e041"," mk1e041.jpg","Halftone photomechanical prints","Jonathan Frater","document",,"image 1 of 5",
"Milk: Its Value to the Home: Milk As a Family Food (2)","2004-01-09","Milk; Nutrition; Education; Child rearing;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee on Milk Consumers.","Pamphlets",18,17,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e041m002.jpg",1911,"Folded pages describing the nutritional value of milk as a food; photo of baby playing on floor, upper left, left page; illustration of cow, right page, lower right.","New York. New York City.","inside faces 1 and 2 of mk1e041"," mk1e041.jpg","Halftone photomechanical prints","Jonathan Frater","document",,"Image 2 of 5",
"Milk: Its Value to  the Home: The Kind of Milk to Buy (4)","2004-01-09","Milk; Nutrition; Education; Child rearing; Children eating & drinking;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee on Milk Consumers.","Pamphlets",9,17,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e041m004.jpg",1911,"Folded pages; Page at left, discussion of quality and temperature of milk for sale, illustration of cow at bottom; page at right, photograph of bottled milk with produce at top, chart comparing the value of one quart of milk with other foods.","New York. New York City.","inside faces 5 and 6 of mk1e041"," mk1e041.jpg","Halftone photomechanical prints;","Jonathan Frater","document",,"Image 4 of 5",
"Milk: Its Value to the Home (5)","2004-01-09","Milk; Nutrition; Education; Child rearing; Children eating & drinking;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee on Milk Consumers.","Pamphlets",9,17,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e041m005.jpg",1911,"Single page; pamphlet style, single column printing; information about milk's benefits at top section; lists members of Milk Committee's Standing Committee on Milk Consumers at bottom.","New York. New York City.","back of mk1e041"," mk1e041.jpg","Halftone photomechanical prints;","Jonathan Frater","document",,"Image 5 of 5",
"Milk: Its Value to the Home [unbound]","2004-01-13","Milk; Nutrition;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Pamphlets",9,17,"Printed Ephemera of the New York Milk Committee.; Educational Materials","English","mk1e041",1911,"8 page pamphlet (unbound, printed on five sheets) promoting milk consumption and providing guidelines for its storage and handling in the home.",,,,"Halftone photomechanical prints",,,,,
"What Milk to Buy (1)","2004-01-15","Children; Milk; Nutrition","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",10,16,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e042m001.jpg",1911,"Collage of head and upper body photos of children; large photo of young girl (?) in center; caption ""New York Milk Committee"" below; NYAM stamp in blue.","New York. New York City.",,,"Halftone photomechanical prints;","Jonathan Frater","document",,"Image 1 of 2",
"What Milk to Buy (2)","2004-01-13","Children; Milk; Nutrition;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",20,16,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e042m002.jpg",,"Single page with two columns of print; includes suggestions on stroring, refirgerating, and preparing milk with bolded subheadings.","New York. New York City.",,,"Halftone photomechanical prints;","Jonathan Frater",,,"Image 2 of 2","Parents, Caretakers"
"What Milk to Buy (3)","2004-01-13","Milk; Nutrition; Bottle feeding; Infants;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",10,16,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e042m003.jpg",1911,"Full single page; fragment of longer document; offers information on the preparation of milk for infants and younger children; photo at bottom of page, two young children sitting on lawn.","New York. New York City.","back of mk1e042"," mk1e042.jpg","Halftone photomechanical prints;","Jonathan Frater",,,,
