cdmid,child_of,object_type,text,notes,filename
75,80,1,"WHAT ONE SEES ON TOUR<br> <br>   Stop in at one of the 80 ""life saving"" stations, where clean, safe milk and <br>  instruction are put within the reach of tenement mothers. This year an Association <br>  of Infant Milk Stations has been organized to weld together for greater effectiveness<br>   the work of many agencies which have worked independently heretofore.<br>  The agencies represented are the Health Department, New York Milk Committee,<br>  Nurses'Settlement, Diet Kitchen Association, Nathan Straus Depots, Babies'<br>  Dairies, Morningside Milk Dispensary, Brooklyn Children's Aid Society.<br><br>  A COMMUNITY GAIN-(10 oz. in one week)<br><br>  Each little customer is weighed weekly, and his diet changed accordingly.<br>  Mothers vie with each other to make their babies win this gaining game.<br><br>  Ordinary store milk. Millions of   bacteria per c.c.-Sickly baby <br><br>  Pure milk. Less than 10,000 bacteria per c.c.- Healthy baby <br><br>  Tenement mothers soon give up the ""loose"" milk habit when shown the <br>  difference in results.<br><br>  KNEE-DEEP IN CLOVER-SAFE FOSTER-MOTHERS <br>  Milk depot milk is either tuberculin tested, certified or pasteurized <br><br>",,76.jpg
76,80,1,"MILK DEPOT <br>  MILK MAN <br>  Clean Hands, Clean Clothes, Clean Pail<br.<br>   One sure way of saving babies<br><br>  THE 'COPS' HELP TOO <br><br>  Commissioner Waldo has informed the police in the vicinity of the city's<br>   distributing milk stations about their purposes, and has bidden them aid in spreading <br>  the knowledge among mothers in congested districts. This is a proper police<br>  funtion. Its development will be watched and encouraged.- N Y. Times<br><br>[photograph]<br>  WHEN MOTHER GOES TO SCHOOL <br><br>  Clean milk and education go hand in hand. Mothers are encouraged to <br>  come to the depot before baby is sick, that he may be kept, not only alive, but<br>   well.<br><br>  Does Your City<br>  Enlighten Mothers?<br><br>  Chicago's weekly bulletin pub-<br>lished by the health deparment<br>   is a conspicuous example of a <br>  community which is getting ""under<br>   the load"" through the only<br>  agency which can reach 100%<br>  of Chicago's babies<br><br>  New York's health bulletins are given out from headquarters, 56th Street<br>  and Sixth Avenue<br><br>   Watch the newspapers for reports, interviews and warnings to mothers<br><br> [photograph]<br>  APPLIED HYGIENE <br>  Milk depot nurses go straight into the homes to make sure milk depot<br>   precepts of cleanliness, care and watchfulness are carried out <br>",,77.jpg
77,80,1,"[To the 3500 students attending the summer schools at Columbia <br>  University and New York University, this bulletin is addressed, with   the belief that no subject is more worthy of thie interest and study   than New York's efforts to reduce preventable infant deaths.<br><br>""SEEING NEW YORK""<br><br>  Of course you've ""seen"" New <br>  York. You've explored the   shops, dipped into Chinatown,<br>  dined at ""Little Hungary,"" gone   through the new library, topped   the Singer tower, visited the <br>  Hall of Fame, Grant's tomb, Ellis Island, and ""millionaire's   row.<br><br>  But we venture to claim that no one of the ""sights""<br>  is more remarkable than the spectacle presented this summer,<br>  of public and private agencies banding together to prove   that babies need not die just because the weather is hot.<br><br>  You're naturally curious to see what sort of infant   citizen is being safely steered through the colicky stormy   stages of tenement babyhood up to the serene times when   he will come under your jurisdiction.<br>",,78.jpg
78,80,1,"THROW AWAY THAT LOLY POP!<br><br>  Are You Teaching 'Little Mothers'?<br>  Did you ever think that lessons in hygiene to little girls would save baby lives?<br>  New York City's health department has organized 239 little mother's leagues in 162<br>  schools where little girls from 12-14 take care of youonger sisters and brothers.<br>  Weekly meetings are held, with lectures by board of health doctors.<br>  If you have time step in<br>   PRESENT LIST OF MEETING PLACES:<br>  Manhattan:[...]<br>  The Bronx:[...]<br>  Brooklyn:[...]<br>  Queens:[...]<br>  Richmond:[...]<br><br>  IF A LITTLE MOTHER STOPS YOU <br>  LISTEN TO WHAT SHE SAYS:<br>  (Extracts from Little Mothers' Essays)<br><br>  What I Did for the Little Mother's League <br>  The lady who Lives in the same house as we do, has a baby boy, 9 months<br>   old. Night after night I hear him cry. One day I asked her why he crys so.<br>  She said she did not know. I asked what she feeds him and she said on <br>  groceries milk. I soon know why the baby crys so, it had stomach trouble. I<br>   asked why she doesn't keep the milk on ice and she says she cannot afford it. So <br>  I gave her the address to the milk depot. I told her to tell the person in charge <br>  that she cannot afford to buy ice and they will try to help her.<br>  The day after she went to store and the doctor told her the baby had <br>  stomach trouble. He gave the baby the right milk and a ticket for ice. Since that <br>  very day the baby drinks the milk, he sleeps during the night as if there were no <br>  baby. She thanked me very much and said I have saved a child from suffering <br>  pain and a mother from becoming ill, because when people do not sleep at night <br>  they usually become sick<br><br>   What I Have Done for the Mother's League <br>  One day as I was walking in the street I saw a baby in a carriage fast asleep <br>  with a nipple and an empty bottle in its mouth. So I saw the mother from the <br>  child and I told her nipples is a real death for a child. When the baby is having<br>   its sleep, the nipple should be in a glass of borax water ready for its meal. The <br>  mother from that child thanked me very much <br><br>  Another Testimony <br>  One day I walked in the street and I saw a woman giving a baby a loly-pop<br>   which had been sucked some time by her elder son. I went over and told her that<br>   loly-pops or any such food was the same as giving the child some poison. She <br>  asked me how I know and I told her I had learned it at the Little Mother's <br>  League. She took the subject under consideration and threw the loly-pop <br>  away.<br><br>  How I Helped the Mother's League<br>   My little sister does not feel well I said to mother: ""Mama, baby has diaria <br>  or loose bowels. Stop all milk, solid food, give her a dose of castor oil,<br>  and then take her to the doctor. My mother tried castor oil, by nothing helped.<br>  She went to the doctor, I went along to see what he would say, and what do you<br>   think he said, exactly what I did and added something new to it.<br><br>  How I Was a 'Little Mother' <br>  One day when I was on the pier with my little brother, a man who took care <br>  of a baby gave it a bottle of coffee. I saw the bottle was dirty and told him the<br>   baby would get sick. He said to me "" Mind your business."" I said I belong to <br>  the Little Mothers' League and know how to take care of babies. The next time <br>  I saw the baby sleeping with a loly-pop in his mouth, the flies were flying on it,<br>  but my little brother was covered with a veil and I fanned him. The next week I<br>   saw the baby and he looked sick. I told the father to go to the doctor. Now he <br>  took my advice and when he came back he said the baby had summer complaint,<br>  but in three weeks the baby was well again. I think the father will never again <br>  give the baby those things.<br><br>  The Care of a Baby for One Day <br>  It is half past six and my little brown eyed Dorothy has awaked, and the <br>  first thing I must do is to give her a nice cool bath, and my! how little Dorothy <br>  can kick, Now I will put on her soft clean clothes. My little Dorothy then must <br>  be fed on barley and milk. I will take her to the recreation pier, how the baby is <br>  enjoying it! She seems to be hungry, come we will go home, eat and come back <br>  again. When I got home I undressed baby and gave her another bath the I fed <br>  her again and she went asleep. When she awoke up I took her for a walk   through the park. It was getting toward evening and the sun was going down <br>  so I walked home with baby slowly <br><br>",,79.jpg
79,80,1,"IS A BABY SAVING CAMPAIGN<BR> WORTH WHILE? <br><br> 1. From January 1st, and through July 29, this year, 888 fewer babies, under 1 year<br>died than for the same period in 1910<br><br> 2. During the hot spell, July 1-15,<br> the deaths from diarrhoeal diseases de-<br>creased from 576 in 1910 to 270 in 1911.<br> For the two weeks ending July 29, there <br> was a continued decrease of 322 deaths<br>from this cause from 1910<br><br>3. For three of the city's most congest-<br>ed districts, where milk depots were<br>located, the mortality for 1910 and 1911<br>is as follows:<br> 14th Ward...76[1910]...11[1911]<br>17th Ward...43[1910]...20[1911]<br>26th Ward...43[1910]...11[1911]<br><br> 4. In 5 wards in Manhattan and 9 <br>wards in Brooklyn, where there are no <br>stations, infant deaths were reduced only<br> 14% and 2% respectively during May and <br>June, compared with 1910. The wards<br> in both boroughs, which had milk stations<br> showed a reduction of 43% for the same<br> two months.<br><br> 5. Before the summer is over, the <br>life savers hope to cut last summer's loss <br> by 2000 babies- Commissioner Lederle's<br> estimate and goal",,80.jpg
80,,2,,,81.cpd
81,83,1,,,82.jpg
82,83,1,,,83.jpg
83,,2,,,84.cpd
84,88,1,,,85.jpg
85,88,1,,,86.jpg
86,89,1,,1 of 2,87.jpg
87,89,1,,2 of 2,88.jpg
88,,2,,,89.cpd
89,,2,,,90.cpd
90,94,1,"""THE HOUSE WITH THE BLUE FRONT""<br><br> BABIES' PURE MILK STATIONS <br><br> A HOUSE WITH A BLUE FRONT ON THOMPSON STREET <br><br> COMMITTEE FOR <br><br> REDUCTION OF INFANT MORTALITY <br><br> OF THE <br><br> NEW YORK MILK COMMITTEE <br><br> 105 EAST 22ND STREET <br><br> NEW YORK CITY",,91.jpg
91,94,1,"""THE HOUSE WITH THE BLUE FRONT"" <br><br>  (From the New York Times, Sunday, May 14, 1911.<br><br><br>  ""Can you tell me the way to The House with the Blue Front?<br><br>  The man to whom she spoke answered at once that it was right around  the corner, And well he might, for blue is not a color habitually chosen  by New Yorkers for a house front. <br><br>  Some curious purpose had dictated the choice of a color so unusual as   that which jumped at one the moment the corner was turned. The blue   was the blue of an afternoon sky. Nobody could pass such a place without stopping to look. It gripped you by the arm and held you while you pon-dered its purpose. <br><br>  This is the way it is expected to work. Take a mother who has stren-  ously refused to rear her offspring along scientific lines. She gives it tea, coffee, strawberry shortcake and pickles. One day alarming symptoms   develop. The mother, whom we wish the reader to picture as hitherto  a monument of obstinacy, experiences and instant change of heart, seizes the baby, and rushes to the street. <br><br>  ""Tell me,"" she cries, ""the nearest way to the house with the blue front.""<br><br>  The chances are 100 to 1 that somebody can give her the information instantly, and she rushes where she knows help in the form of a trained nurse awaits her, and baby is saved, with what we may describe as the   cheers of the populace. <br><br>  This is not primarily the function of the milk station, but, then, on the  other hand selling milk is also only a part of the work of such a place. The blue front milk stations are meant, indeed, to furnish good, pure milk that can safely be drunk by the feeblest baby stomach, but it is the education of the mothers who come to the place. <br><br>  The battle for the lives of children in New York is about to be   fought more fiercely than ever. Already this city stands far ahead of   any other on the continent in the care it gives its little children, and this year the New York Milk Committee, of 105 East Twenty-second Street, has   undertaken to give a demonstration to the city of the reduction that is possi-  ble through maintaining a large number of stations where good milk and   better advice are always ready for anyone who comes to seek. <br><br>  It is submitted that it costs $50 to bury a baby. It has been demon-  strated that babies can be saved at a cost of $50 a year for each baby. The New York Milk Committee say - really it sounds very sensible: ""All   things considered, we might just as wll save babies as bury them,   seeing that it does not cost any more.""<br><br>  The odd thing is that it has taken us some time to get the point   of this. It does seem pretty clear when it is pointed out, but we   have been floundering after it for a long time.   <br><br>Even last Summer, when New York had the lowest death rate among   the large cities fo the country, over 1,000 babies were buried in two weeks.    The number of babies born during the year equaled the population of New   Haven, and one-eighth of them died in the course of the twelve months.   And yet other cities made a far worse showing than New York. <br><br>  The Department of Health did know how to save many of the babies.   It knew perfectly well, but that costs money, and the average taxpayer has   not yet grasped the fact that has come home to many individuals, that $50   for saving a baby is a better way to spend money than giving $50   for burying a baby. But this year as many of these deaths are   going to be prevented as possible, and the New York Milk Com-   mittee is to make what is intended to be a striking demonstration   of what can be obtained by a great big campaign against the deaths   that hide everywhere for the little mites. <br><br>  The experiment is being made in close co-operation with the   Board of Health.   The value of the milk stations, says an expert on the question,  lies about 25 per cent. in the milk and 75 per cent. in the advice   given. It used to be the custom to prepare the milk for babies   according to a set formula, such and such for children under three   months old, and such and such for children a year old, etc. this   worked well enough for the ""average"" child, but unfortunately the   majority of children are not ""average"" at all. The New York Milk   Committee is taking a new system altogether.",,92.jpg
92,94,1,"It is a very simple matter to teach a woman to prepare milk for her own chid. At every milk station there will be a nurse to do this. She will show any amount of patience that may be necessary in wrestling with idiosyn- crasies of each individual family, and not one mother will come away from the milk station without having an idea as clear as possible of the way in which the baby should be fed and cared for.<br> <br> Under the old system, when the milk was all prepared in little bottles, there were a dozen details that the mother neglected at home. The bottle was put down in a dirty place, the nipple was taken off, and cockroaches and similar lively insects would creep in. The mother did nothing about it,  because she had not been made to understand how important to health cleanliness was.  <br> <br>The Milk Committee makes her understand this, and sees that the good done at the station is not undone by ignorant careless-  ness. The nurses will work in the homes, too, so far as possible, by fol-lowing up special cases. <br><br> [illustration with title caption: INSTRUCTION IN THE HOME ] <br><br> There are doctors who will visit the station at stated times and who will  prescribe for every baby that comes. Not only do they prescribe the diet necessary for the child, but they are able to set the mother on the right  track if the child has some disease that requires special attention from a clinic. Not every baby, who comes to the station miserably undersized and puny, is suffering from malnutrition. When, however, it is malnutrition from which they suffer, it is singular to see the lines in their charts.  <br><br>Every baby that comes has a chart. Along the middle runs a line in- dicating the normal weight for a baby under a year. It goes in a long, slanting upward line. When the babies come in, little dots are put to register their relation to the line, and in practically every case these dots are a pitifully long way below the normal. A baby that should weigh fifteen pounds will weigh but eight or ten; then it gets its clutch upon the milk  bottle from the station, and presto! the line goes up so suddenly towards  the normal that it is almost perpendicular. <br><br> It is startling to see the instant improvement that follows the visits to the milk station. What ails the child usually is nothing in the world but starvation. It is useful thought to take home and ponder evenings when there is nothing else to do that hundreds of babies starve to death every year in New York City.",,93.jpg
93,94,1,"CONSULTATION CLASS<br><br> LOCATION OF THE TWENTY-SEVEN <br><br> BABIES' PURE MILK STATIONS <br><br> 47 Washington Street  326 East 11th Street  200 East 97th Street <br><br> 244 Mulberry Street  306 East 21st Street  248 East 105th Street <br><br> 35 Norfolk Street  316 East 56th Street  315 East 112th Street <br><br> 174 Eldridge Street  512 Second Street   3 East 115th Street  <br><br> 73 Cannon Street   873 Second Avenue  114 Thompson Street <br><br> 165 Ludlow Street  1705 Second Avenue  56 Le Roy Street <br><br> 339 East 4th Street  1391 Avenue A   307 Tenth Avenue <br><br> 325 East 5th Street   235 East 81st Street   438 West 48th Street <br><br> 722 East 9th Street   239 West 69th Street<br><br> 59th St. and 10th Ave. (Vanderbilt Clinic) <br><br> Godfrey R. Pisek, M. D., Chairman <br><br> Mrs. J. Borden Harriman, Vice -Chairman <br> Marshall L. Warrin, Treasurer <br><br> Paul E. Taylor, Director",,94.jpg
94,,2,,,95.cpd
95,97,1,"""WHO'S AFRAID""<br><br> One of our milk depot babies for whom the heat and congestion have no terrors <br><br> 1005 LITTLE WHITE HEARSES <br><br> PASSED THROUGHT THE STREETS OF NEW YORK CITY <br><br> IN TWO HOT WEEKS LAST SUMMER <br><br> 16,000 FUNERALS OF BABIES OCCURED DURING THE YEAR <br><br> <br><br> Prominent Physicians say that <br><br> Fully one-half this mortality, or <br><br> 8000 DEATHS COULD HAVE BEEN PREVENTED <br><br> By work such as is done in the Infants' Milk Depots of <br><br> THE NEW YORK MILK COMMITTEE <br><br> THE COMMITTE NOW WISHES TO INCREASE THE NUMBER OF ITS <br><br> DEPOTS AND TO ASSIST IN A GREATER DEGREE IN CUTTING <br><br> DOWN THIS FRIGHTFUL INFANT MORTALITY RATE <br><br> <br><br> YOUR HELP IS ESSENTIAL IN CARRYING OUT THIS WORK <br><br> <br><br> SAVED- EVEN FROM THIS CONDITION - BY PROPER FEEDING",,96.jpg
96,97,1,"[Photograph]<br><br>  ""CONDITIONS THAT KILL BABIES"" <br><br>  A dirty can, from which milk, uniced, was sold last summer on an East Side <br><br>  street, amid a jumble of rank-scented vegetables. <br><br>  THE NEW YORK MILK COMMITTEE <br><br>  has demonstrated in its infants' milk depots that <br><br>  BABIES CAN BE SAVED <br><br>  AT A COST OF ABOUT FIFTY DOLLARS A YEAR FOR EACH BABY <br><br>  By enabling their tired and overworked mothers to feed them at the breast. <br><br>  By distributing pure milk for babies who must be artificially fed; and <br><br>  By having doctors instruct mothers who are ignorant but eager to <br><br>  learn, and by having nurses visit these mothers in their homes. <br><br>  It is estimated that <br><br>  THE AVERAGE COST OF BURYING A BABY IS $50 <br><br>  THUS THE $400,000 WHICH IT COSTS TO BURY THE 8000 BABIES WHO DIE NEEDLESSLY IN <br><br>  N. Y. CITY EACH YEAR WOULD SAVE THESE BABIES. <br><br>  WE PROPOSE TO ESTABLISH DEPOTS WHICH WILL SAVE BABIES FOR WHAT <BR><br>  IT NOW COSTS TO BURY THEM. <br><br>  WILL YOU HELP?<br><br>  Send check to MARSHALL L. WARRIN, Treasurer <br><br>  THE NEW YORK MILK COMMITTEE, 105 East 22nd Street, N. Y. City <br><br>  [2 photographs] <br><br>  ""THE MILK COMMITTEE AT WORK"" <br><br>  One of our mothers' classes <br><br><br><br> Pure milk at our Italian depot <br><br><br>",,97.jpg
97,,2,,,98.cpd
98,100,1,,,99.jpg
99,100,1,STORY <br>   A story I'm showing <br>  Of mother not know- <br>   ing <br>  And now my story's <br>  begun <br><br>  I'll tell you another <br>  Of lessons to mother <br>  And now my story <br>  is done <br><br>,,100.jpg
100,,2,,,101.cpd
102,104,1,,,103.jpg
103,104,1,,,104.jpg
104,,2,,,105.cpd
105,,0,,,106.jpg
106,110,1,,,107.jpg
107,110,1,"1005 little white hearses passed through the streets of New York City in two weeks last summer. One-eighth of the 123,433 little ones born during the year, (equalling the population of New Haven, Conn.) died under twelve months.<br> In the same squalid, poverty-smitten and congested districts where most of these deaths occured the Milk Committee maintained 7 in- fants' milk depots. Pure Milk was distributed on ice and the mothers taught how to care for it. Doctors at weekly classes taught the mothers how to feed their babies. Trained nurses visited their homes and taught them how to be clean and healthy. The babies of these mothers gained steadily in spite of the heat, poverty and congestion. Smiles and dimples came into their pinched faces; sleep came to the <br> tired women who watched over them. Sickness was prevented and <br>lives were saved because the mothers were taught and because pure milk and a few essentials were provided at low cost.",,108.jpg
108,110,1,,,109.jpg
109,110,1,"Some of the Committee' friends may be interested in the history of baby Carmina. We learned about her through a liitle girl who came to us and said her mother was sick and desired help. I went home with her and found the sick woman on a cot in the corner of a dark, ill ven-tilated room, bare of all furniture. She was weak, discouraged, and unwilling to talk -- a picture of a nervous break-down. The baby was crying and moaning. The husband had been out of work for a long time and the family income was $5 weekly which the oldest girl earned. One child had already died of intestinal trouble and this baby was going fast.<br> It was so easy to care for the mother, to modify the milk and get the baby started right, but it meant so much for that family. Later the mother came to our classes. Her complete ignor- ance about herself and her baby was startling, but we taught her easily as she was so eager to learn. I wish you could see the baby now. It weighs 14 pounds at 5 months, and is a dear.  You would hardly know the mother; she is not a healthy woman yet but as all worry about her child has been removed she has confidence and strength again to live. Her face always wears a happy smile when she comes to see us.",,110.jpg
110,,2,,,111.cpd
111,115,1,,,112.jpg
112,115,1,"In calling attention to these errors the health officials wrote as follows:<br> <br>The Health Officer of Indianapolis: <br> ""In the record which we sent you on January 15th, the <br> still births were included in the deaths under one year.""<br><br> The Health Officer of Passaic: <br><br> ""The figures transmitted to your Committee were the same <br>received from the Registrar, at which time I thought correct. But <br> after receiving your table of Infant Mortalities of the different<br> cities reported to your office, this office with the idea of discov-<br>ering the real cause of our marked increase, checked up the in-<br>fant deaths under one year and after completing same found that <br> an error had been made, both in the number of births reported<br> and also in the number of death under one year.""<br><br> The Secretary-Board of Health, Perth Amboy:<br><br> ""We misconceived the meaning of the term  'living births', and deducted from the living births (exclusive of still births) such deaths as had occured of infants under one year of age.""<br><br> The monthly bulletins for the current year are coming in <br>promptly from an increased number of cities - and their mortalit<br> reports indicate that 1916 will show a substantial decrease over <br> previous years in most instances.<br> New York Milk Committee",,113.jpg
115,,2,,,116.cpd
116,119,1,,,117.jpg
